#,Date Time,Temp C ,RH % ,CO2_1 ppm,CO2_2 ppm
290,04/17/10 08:38:00  PM,21.032,35.938,449.3,443.8
291,04/17/10 08:40:00  PM,21.032,35.938,447.5,443.8
292,04/17/10 08:42:00  PM,21.008,35.936,447.5,443.8
293,04/17/10 08:44:00  PM,21.008,35.936,442,443.2
294,04/17/10 08:46:00  PM,21.008,35.936,450.5,443.2
295,04/17/10 08:48:00  PM,21.008,35.969,452.4,443.2
296,04/17/10 08:50:00  PM,21.008,35.936,445.7,443.2
297,04/17/10 08:52:00  PM,20.984,35.933,442.6,443.2
298,04/17/10 08:54:00  PM,20.984,35.933,444.4,442.6
299,04/17/10 08:56:00  PM,20.984,35.966,441.4,442.6
300,04/17/10 08:58:00  PM,20.96,35.931,446.9,442.6
301,04/17/10 09:00:00  PM,20.96,35.931,445.7,442.6
302,04/17/10 09:02:00  PM,20.96,35.931,444.4,442.6
303,04/17/10 09:04:00  PM,20.936,35.929,448.7,442.6
304,04/17/10 09:06:00  PM,20.936,35.929,444.4,442.6
305,04/17/10 09:08:00  PM,20.936,35.929,443.8,442.6
306,04/17/10 09:10:00  PM,20.936,35.929,444.4,442
307,04/17/10 09:12:00  PM,20.936,35.929,446.9,442.6
308,04/17/10 09:14:00  PM,20.913,35.926,445.7,442
309,04/17/10 09:16:00  PM,20.913,35.926,445.7,442
310,04/17/10 09:18:00  PM,20.913,35.926,448.7,442.6
311,04/17/10 09:20:00  PM,20.913,35.926,448.7,442.6
312,04/17/10 09:22:00  PM,20.889,35.924,448.7,442.6
313,04/17/10 09:24:00  PM,20.889,35.891,447.5,442.6
314,04/17/10 09:26:00  PM,20.889,35.891,445.7,443.2
315,04/17/10 09:28:00  PM,20.889,35.924,445.7,443.2
316,04/17/10 09:30:00  PM,20.889,35.891,442.6,443.2
317,04/17/10 09:32:00  PM,20.889,35.924,440.8,442.6
318,04/17/10 09:34:00  PM,20.865,35.922,439.6,442.6
319,04/17/10 09:36:00  PM,20.865,35.922,442.6,442.6
320,04/17/10 09:38:00  PM,20.865,35.922,442.6,442
321,04/17/10 09:40:00  PM,20.865,35.922,442.6,442
322,04/17/10 09:42:00  PM,20.865,35.889,439.6,442
323,04/17/10 09:44:00  PM,20.865,35.922,444.4,442
324,04/17/10 09:46:00  PM,20.865,35.922,441.4,442
325,04/17/10 09:48:00  PM,20.841,35.919,441.4,442
326,04/17/10 09:50:00  PM,20.841,35.919,443.8,441.4
327,04/17/10 09:52:00  PM,20.841,35.886,444.4,441.4
328,04/17/10 09:54:00  PM,20.841,35.919,443.8,441.4
329,04/17/10 09:56:00  PM,20.841,35.854,449.3,442
330,04/17/10 09:58:00  PM,20.841,35.886,445.7,442
331,04/17/10 10:00:00  PM,20.817,35.851,442.6,442
332,04/17/10 10:02:00  PM,20.817,35.884,445.7,442
333,04/17/10 10:04:00  PM,20.817,35.851,445.7,442
334,04/17/10 10:06:00  PM,20.817,35.851,443.8,442
335,04/17/10 10:08:00  PM,20.817,35.851,447.5,442
336,04/17/10 10:10:00  PM,20.817,35.851,445.7,442
337,04/17/10 10:12:00  PM,20.793,35.849,447.5,442.6
338,04/17/10 10:14:00  PM,20.793,35.915,442.6,442.6
